,Pos.,Giocatore,Price,Overall
216,217,Matteo Gabbia\c235e803,3.0,bad
217,218,Manolo Gabbiadini\8f866fe8,15.0,normal
218,219,Gabriel\f93ed0df,20.0,normal
219,220,Luca Gagliano\1d00a56c,1.0,bad
220,221,Roberto Gagliardini\ce30bfc8,36.0,normal
221,222,Riccardo Gagliolo\173061c0,4.0,bad
222,223,Daniele Gastaldello\13f89eaa,3.0,bad
223,224,Gervinho\e468c053,18.0,normal
224,225,Rachid Ghezzal\dc3a9a0d,1.0,bad
225,226,Andrea Ghezzi\c840baa2,1.0,bad
226,227,Paolo Ghiglione\71dc23da,1.0,bad
227,228,Andrea Ghion\7f24b3eb,1.0,bad
228,229,Faouzi Ghoulam\c5adc293,1.0,normal
229,230,Diego Godín\fc4f85b1,20.0,top
230,231,Edoardo Goldaniga\4b029b31,2.0,bad
231,232,Pierluigi Gollini\f0f7f62f,16.0,normal
232,233,Papu Gómez\6e4df551,37.0,top
233,234,Robin Gosens\2d970560,16.0,normal
234,235,Alberto Grassi\6cc97b6a,1.0,bad
235,236,Sinan Gümüş\ac1f056e,1.0,bad
236,237,Koray Günter\f1f1f238,1.0,bad
237,238,Samir Handanović\74419746,14.0,normal
238,239,Lukáš Haraslín\5c397195,1.0,bad
239,240,Hans Hateboer\3b333ac3,2.0,normal
240,241,Liam Henderson\d7918b13,1.0,bad
241,242,Dalbert Henrique\f45f9427,1.0,bad
242,243,Theo Hernández\d4c9725f,21.0,normal
243,244,Hernani\6f5ead86,17.0,normal
244,245,Gonzalo Higuaín\8a08491a,78.0,top
245,246,Krisztofer Horváth\4ce8f4a3,1.0,bad
246,247,Elseid Hysaj\2f3452eb,6.0,normal
247,248,Simone Iacoponi\63071a3f,1.0,bad
248,249,Roger Ibanez\82efe6fa,1.0,bad
249,250,Zlatan Ibrahimović\4cde5509,26.0,top
250,251,Igor\a4e85758,1.0,bad
251,252,Igor\a4e85758,1.0,bad
252,253,Josip Iličić\68252d6d,39.0,top
253,254,Giannelli Imbula\b86fe156,3.0,normal
254,255,Ciro Immobile\4431aed2,57.0,top
255,256,Roberto Inglese\6c1f7328,4.0,normal
256,257,Lorenzo Insigne\2f557579,67.0,top
257,258,Artur Ioniță\cedb3e36,5.0,bad
258,259,Jakub Iskra\103b7264,5.0,bad
259,260,Armando Izzo\89976232,5.0,bad
260,261,Filip Jagiełło\4cdcbc14,1.0,bad
261,262,Mato Jajalo\8c65eb5f,2.0,bad
262,263,Marko Janković\9866afec,3.0,bad
263,264,Jakub Jankto\1ea5f91c,1.0,bad
264,265,Juan Jesus\79083382,5.0,normal
265,266,Jony\244f57b9,1.0,bad
266,267,Jesse Joronen\7f66ea09,1.0,bad
267,268,Hamed Junior Traorè\570bb4b9,1.0,bad
268,269,Musa Juwara\7737dee2,1.0,bad
269,270,Nikola Kalinić\d4931a5a,26.0,top
270,271,Yann Karamoh\8b66d9cc,1.0,bad
271,272,Franck Kessié\05e19d6a,46.0,top
