Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,R - Rig,Rigori,Rig T,Amm.,Esp.,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Partite
60,Davide Biraschi\64cd167d,it ITA,Dif,Genoa,25,1994,24,22,1.971,21.9,0,1,0,0,0,3,1,000,005,005,000,005,0.3,0.3,0.6,09,001,003,004,001,004,Partite
61,Valter Birsa\455a2b79,si SVN,Cen,Cagliari,32,1986,13,4,430,4.8,0,0,0,0,0,1,0,000,000,000,000,000,0.1,0.1,0.4,05,001,009,011,001,011,Partite
62,Dimitri Bisoli\16569fef,it ITA,Cen,Brescia,25,1994,25,24,2.152,23.9,1,1,1,0,0,6,0,004,004,008,004,008,2.3,2.3,3.0,53,010,012,022,010,022,Partite
63,Birkir Bjarnason\da13074e,is ISL,CenAtt,Brescia,31,1988,13,9,798,8.9,0,1,0,0,0,1,0,000,011,011,000,011,0.6,0.6,0.4,11,007,005,012,007,012,Partite
64,Kevin-Prince Boateng\f4ec4fd0,gh GHA,Att,Fiorentina,32,1987,14,6,599,6.7,1,0,1,0,0,2,0,015,000,015,015,015,1.7,1.7,0.3,20,026,004,030,026,030,Partite
65,Salvatore Bocchetti\faa1b07d,it ITA,Dif,Hellas Verona,32,1986,5,3,303,3.4,0,0,0,0,0,2,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
66,Jeremie Boga\fe012aca,ci CIV,Att,Sassuolo,22,1997,34,28,2.513,27.9,11,2,11,0,0,0,0,039,007,047,039,047,4.8,4.8,3.2,80,017,011,029,017,029,Partite
67,Giacomo Bonaventura\d995ed27,it ITA,CenAtt,Milan,29,1989,29,13,1.338,14.9,3,5,3,0,0,2,0,020,034,054,020,054,3.5,3.5,2.7,61,023,018,041,023,041,Partite
68,Federico Bonazzoli\bf57eaab,it ITA,AttCen,Sampdoria,22,1997,19,7,744,8.3,6,0,6,0,0,1,0,073,000,073,073,073,4.1,4.1,0.6,47,049,007,057,049,057,Partite
69,Kevin Bonifazi\fb77bfef,it ITA,Dif,SPAL,23,1996,14,13,1.191,13.2,1,0,1,0,0,2,1,008,000,008,008,008,1.1,1.1,0.0,11,008,000,008,008,008,Partite
70,Kevin Bonifazi\fb77bfef,it ITA,Dif,Torino,23,1996,3,3,247,2.7,1,0,1,0,0,0,0,036,000,036,036,036,0.2,0.2,0.0,02,006,001,006,006,006,Partite
71,Federico Bonini\f8f0744b,it ITA,Dif,Bologna,17,2001,1,0,7,0.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
72,Leonardo Bonucci\52ec54d0,it ITA,Dif,Juventus,32,1987,35,35,3.082,34.2,3,0,3,0,0,10,0,009,000,009,009,009,3.0,3.0,0.8,38,009,002,011,009,011,Partite
73,Fabio Borini\ef5b337e,it ITA,CenAtt,Milan,28,1991,2,1,70,0.8,0,0,0,0,0,1,0,000,000,000,000,000,0.1,0.1,0.0,01,009,000,009,009,009,Partite
74,Fabio Borini\ef5b337e,it ITA,AttCen,Hellas Verona,28,1991,14,9,808,9.0,3,0,2,1,1,1,1,033,000,033,022,022,2.8,2.1,0.4,25,032,005,037,023,028,Partite
75,Mehdi Bourabia\0d077b88,ma MAR,Cen,Sassuolo,27,1991,17,10,925,10.3,1,2,1,0,0,7,1,010,019,029,010,029,0.3,0.3,0.6,10,003,006,009,003,009,Partite
76,Federico Brancolini\d4890c25,it ITA,Por,Fiorentina,18,2001,1,0,6,0.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
77,Gleison Bremer\5fd5ed86,br BRA,Dif,Torino,22,1997,27,27,2.270,25.2,3,1,3,0,0,6,2,012,004,016,012,016,1.3,1.3,0.2,15,005,001,006,005,006,Partite
78,Marco Brescianini\dfd56738,it ITA,Cen,Milan,19,2000,1,0,25,0.3,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
79,Marcelo Brozović\33b8d077,hr CRO,Cen,Inter,26,1992,32,30,2.701,30.0,3,6,3,0,0,9,0,010,020,030,010,030,3.4,3.4,2.8,62,011,009,021,011,021,Partite
80,Gastón Brugman\e947ee4a,uy URU,Cen,Parma,26,1992,23,17,1.458,16.2,0,2,0,0,0,5,0,000,012,012,000,012,0.2,0.2,1.1,13,002,006,008,002,008,Partite
81,Gianluigi Buffon\e40d028b,it ITA,Por,Juventus,41,1978,9,9,810,9.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.2,02,000,003,003,000,003,Partite
82,Fabrizio Cacciatore\00b0bb87,it ITA,Dif,Cagliari,32,1986,16,14,1.153,12.8,0,0,0,0,0,1,1,000,000,000,000,000,0.3,0.3,0.5,08,003,004,006,003,006,Partite
83,Martín Cáceres\e94d79e3,uy URU,Dif,Fiorentina,32,1987,27,27,2.356,26.2,1,0,1,0,0,10,1,004,000,004,004,004,1.9,1.9,0.5,24,007,002,009,007,009,Partite
84,Felipe Caicedo\93b891d1,ec ECU,Att,Lazio,30,1988,30,18,1.406,15.6,9,2,9,0,1,7,0,058,013,070,058,070,6.0,5.2,2.8,81,038,018,056,033,052,Partite
85,Davide Calabria\2146785a,it ITA,Dif,Milan,22,1996,25,16,1.622,18.0,1,1,1,0,0,4,2,006,006,011,006,011,0.7,0.7,0.7,14,004,004,008,004,008,Partite
86,Riccardo Calafiori\aded8e6f,it ITA,Dif,Roma,17,2002,1,1,59,0.7,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
87,Mattia Caldara\ac7e640b,it ITA,Dif,Atalanta,25,1994,14,11,959,10.7,0,1,0,0,0,1,0,000,009,009,000,009,0.2,0.2,0.4,06,002,004,006,002,006,Partite
88,Marco Calderoni\652811aa,it ITA,Dif,Lecce,30,1989,26,24,2.064,22.9,3,2,3,0,0,7,0,013,009,022,013,022,0.7,0.7,2.2,29,003,010,013,003,013,Partite
89,Hakan Çalhanoğlu\cd0fa27b,tr TUR,CenAtt,Milan,25,1994,35,34,2.704,30.0,9,9,8,1,1,6,0,030,030,060,027,057,8.0,7.3,6.9,142,027,023,050,024,047,Partite
90,José Callejón\78841da9,es ESP,AttCen,Napoli,32,1987,33,25,2.172,24.1,4,7,4,0,0,2,0,017,029,046,017,046,4.9,4.9,6.4,113,020,027,047,020,047,Partite
91,Emre Can\a65ce836,de GER,Cen,Juventus,25,1994,8,2,284,3.2,0,0,0,0,0,2,0,000,000,000,000,000,1.3,1.3,0.6,19,041,018,059,041,059,Partite
92,Antonio Candreva\356c9002,it ITA,Dif,Inter,32,1987,32,24,1.993,22.1,5,7,5,0,0,5,0,023,032,054,023,054,2.4,2.4,5.6,80,011,025,036,011,036,Partite
93,Gianmarco Cangiano\a36084cd,it ITA,CenAtt,Bologna,17,2001,3,0,21,0.2,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
94,Gianluca Caprari\54e53b7e,it ITA,AttCen,Parma,26,1993,12,7,589,6.5,2,0,1,1,1,1,0,031,000,031,015,015,2.5,1.7,1.4,31,038,022,059,026,048,Partite
95,Gianluca Caprari\54e53b7e,it ITA,AttCen,Sampdoria,26,1993,18,5,667,7.4,3,0,3,0,0,4,1,040,000,040,040,040,1.9,1.9,0.5,23,026,006,032,026,032,Partite
96,Francesco Caputo\5bd72174,it ITA,Att,Sassuolo,31,1987,36,33,2.931,32.6,21,7,19,2,2,3,0,064,021,086,058,080,15.7,14.2,6.0,201,048,018,066,043,062,Partite
97,Andrea Carboni\f7e2af2c,it ITA,DifCen,Cagliari,18,2001,7,5,368,4.1,0,0,0,0,0,5,2,000,000,000,000,000,0.0,0.0,0.0,00,001,000,001,001,001,Partite
98,Francesco Cassata\96960855,it ITA,Cen,Genoa,22,1997,24,18,1.458,16.2,2,0,2,0,0,11,2,012,000,012,012,012,1.3,1.3,1.4,27,008,009,017,008,017,Partite
99,Timothy Castagne\197640fd,be BEL,Dif,Atalanta,23,1995,27,19,1.769,19.7,1,2,1,0,0,4,0,005,010,015,005,015,1.6,1.6,2.5,41,008,013,021,008,021,Partite
100,Samu Castillejo\130a7a3f,es ESP,AttCen,Milan,24,1995,22,16,1.209,13.4,2,3,2,0,0,3,1,015,022,037,015,037,3.0,3.0,2.9,58,022,021,043,022,043,Partite
101,Lucas Castro\56b2957b,ar ARG,Cen,Cagliari,30,1989,15,6,606,6.7,2,0,2,0,0,2,0,030,000,030,030,030,0.8,0.8,0.5,13,012,007,019,012,019,Partite
102,Lucas Castro\56b2957b,ar ARG,Cen,SPAL,30,1989,7,6,425,4.7,0,0,0,0,0,0,0,000,000,000,000,000,0.6,0.6,0.3,09,013,006,019,013,019,Partite
103,Gaetano Castrovilli\0728bebe,it ITA,Cen,Fiorentina,22,1997,33,31,2.673,29.7,3,2,3,0,0,10,0,010,007,017,010,017,3.1,3.1,2.7,58,010,009,020,010,020,Partite
104,Danilo Cataldi\ba3d3bea,it ITA,Cen,Lazio,24,1994,21,3,592,6.6,1,0,1,0,0,3,0,015,000,015,015,015,0.5,0.5,0.6,11,008,009,017,008,017,Partite
105,Federico Ceccherini\d9624b51,it ITA,Dif,Fiorentina,27,1992,15,8,835,9.3,0,0,0,0,0,3,0,000,000,000,000,000,0.2,0.2,0.0,03,002,000,003,002,003,Partite
106,Christian Celesia\d2fd20d6,it ITA,Dif,Torino,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.3,03,000,2540,2540,000,2540,Partite
107,Luca Ceppitelli\7d50454d,it ITA,Dif,Cagliari,29,1989,16,15,1.246,13.8,2,0,2,0,0,5,0,014,000,014,014,014,0.4,0.4,0.1,05,003,001,004,003,004,Partite
